語	級別	舊	漢字・原文	備註	發音	中文意思
げっそり	1		げっそり		3	驟然消瘦、掃興、厭膩
けつだん	1		決断		0	果斷、決心
けってい	2		決定		0	決定、確定
けってん	2		欠点		3	缺點、不及格的分數
げっぷ	1		月賦		0	按月付款
けつぼう	1		欠乏		0	缺乏
げつまつ	2		月末		0	月底
げつよう//げつ	2		月曜//月		3//1	星期一
げつようび	4		月曜日		3	星期一
けつろん	2		結論		0,2	結論
けとばす	1		蹴飛ばす		0,3	猛踢、嚴加拒絕
けなす	1		貶す		0	貶低、毀謗
けはい	2		気配		1,2	跡象、神情、行情
げひん	2		下品		2	下流、庸俗
けむい	2		煙い		0,2	(煙)嗆人
けむたい	1		煙たい		0,3	(煙)嗆人、使人侷促不安、使人發慌
けむり	2		煙		0	煙霧、茶色
けむる	1		煙る		0	冒煙、看不清楚、朦朧
けもの	1		獣		0	獸
けらい	1		家来		1	封建時代的家臣
げり	1		下痢		0	腹瀉
ける	2		蹴る		1	踢、拒絕
けれど//けれども	3		けれど//けれども		1	然而、但是
けわしい	2		険しい		3	險峻、可怕、險惡、困難、艱險
けん	3	*2	県		1	縣
けん	3		〜軒			棟、所
けん	2		券		1	券、票
けん	2		〜権			權、權力
けん	1		件		1	事、事件、件數
けん	1		〜圏			圏
げん	2		現〜		1	現、現在的
けんい	1		権威		1	權勢、威望、權威
げんいん	3		原因		0	原因
けんか（する）	3		喧嘩（する）		0	口角、爭吵、打架
けんかい	2		見解		0	意見
げんかい	2		限界		0	界限
けんがく	2		見学		0	見習、考察
げんかん	4		玄関		1	門口、房子的正門
げんき	4		元気		1	元氣、精力、精神
けんきゅう（する）	3		研究（する）		0	研究
けんきゅうしつ	3		研究室		3	研究室
けんきょ	2		謙虚		1	謙虛
けんぎょう	1		兼業		0	兼營
げんきん	2		現金		3	現款、貨幣、支票匯票、收現、付現、兌現
げんけい	1		原型・原形		0	原形、未進化原來的形態
けんげん	1		権限		3	權限
げんご	2		言語		1	言語
けんこう	2		健康		0	健康
げんこう	2		原稿		0	原稿
げんこう	1		現行		0	現行
けんさ	2		検査		1	檢查
けんざい	1		健在		0	健在、照常存在、現在時
げんざい	2		現在		1	現在、目前、當時、截至、現世
げんさく	1		原作		0	原著
げんさん	2		原産		0	原料、製品的產地
けんじ	1		検事		1	檢察官
げんし	2		原始		1	原始
げんし	1		原子		1	原子、原子彈
げんじつ	2		現実		0	現實
げんしゅ	1		元首		1	元首
けんしゅう	2		研修		0	進修
げんじゅう	2		厳重		0	嚴厲
げんしょ	1		原書		0	原版本、西洋書籍
けんしょう	1		懸賞		0	懸實
げんしょう	2		現象		0	現象
げんしょう	1		減少		0	減少、縮減
げんじょう	2		現状		0	現狀
けんせつ	2		建設		0	建設、創立
けんぜん	1		健全		0	健全、正常、堅實
げんそ	1		元素		1	元素
げんぞう	1		現像		0	顯像
げんそく	1		原則		0	原則
けんそん	2		謙遜		0	謙恭、謙遜
げんだい	2		現代		1	現代、當代
けんち	1		見地		1	觀點、立場、檢查建築用地
げんち	1		現地		1	現場、現居住的地方
けんちく	2		建築		0	建築
けんちょう	2		県庁		1	縣政府
げんてい	1		限定		0	限定
げんてん	1		減点		0	扣分
げんてん	1		原典		1	原著、原本
げんてん	1		原点		1	起點、座標的原點
げんど	2		限度		1	限度、範圍、界限
けんとう	2		検討		0	討論
けんとう	2		見当		3	猜測、判斷
げんに	2		現に		1	實際、現在、親眼
げんば	2		現場		0	現場
げんばく	1		原爆		0	原子彈
けんびきょう	2		顕微鏡		0	顯微鏡
けんぶつ（する）	3		見物（する）		0	觀光、遊覽
げんぶん	1		原文		0	原文
けんぽう	2		憲法		1	憲法
げんみつ	1		厳密		0	嚴密、嚴格
けんめい	2		懸命		0	拚命、竭盡全力
けんめい	1		賢明		0	賢明、明智、高明
けんやく	1		倹約		0	節約、節省
げんゆ	1		原油		0	原油
けんよう	1		兼用		0	兼用、兩用
けんり	2		権利		1	權利
げんり	2		原理		1	原理
げんりょう	2		原料		3	原料
けんりょく	1		権力		1	權力
げんろん	1		言論		0	言論
こ	4		〜個			幾個
こ	3		子		0	小孩、兒女、子
こ	2		〜湖			湖
ご	4		五		1	五、第五個
ご	4		〜語			語
ご	2		碁		1	圍棋
ご	2		語		1	語言、語、單詞
ご	2		後		0,1	以後
こ〜	2		小			小、微小、稍微、差不多
こ〜	1		故		1	已故的
ご〜	3		御〜			表示尊敬、表示謙遜
こい	2		濃い		1	深、濃、烈、密稠、親密
こい	2		恋		1	戀愛、愛情
ごい	1		語彙		1	詞彙、語彙
こいしい	2		恋しい		3	親愛的、眷戀
こいする	1		恋する		3	戀愛
こいびと	2		恋人		0	情人
こう	3		こう	指示詞	0	如此、這麼
こう	2		〜校			校
こう	2		〜港			港
こう	1		甲		1	鎧甲、甲殼、盔甲、表面、第一位、甲
こう	1		〜光			光
ごう	2		〜号			號
こう〜	2		高〜		1	高
こうい	1		好意		1	好意、善意
こうい	1		行為		1	行為、舉止
ごうい	1		合意		1	同意、達成協議
こういん	2		工員		0	工人
ごういん	2		強引		0	強行、強制
こううん	2		幸運		0	僥倖、幸運
こうえき	1		交易		0	交易、貿易
こうえん	4		公園		0	公園
こうえん	2		講演		0	講演、演說
こうえん	1		公演		0	公演
こうか	2		高価		1	高價
こうか	2		硬貨		1	硬幣
こうか	2		効果		1	效果、成績
ごうか	2		豪華		1	豪華
こうかい	1		公開		0	公開、開放
こうかい	1		後悔		1	後悔
こうかい	1		航海		1	航海
こうがい	3		郊外		1	郊外
こうがい	2		公害		0	公害
こうがく	1		工学		0	工學
ごうかく	2		合格		0	及格
こうかん	2		交換		0	交換、交易
こうぎ	3		講義		0,3	講課、講義、講解
こうぎ	1		抗議		1	抗議
ごうぎ	1		合議		1	協議
こうきゅう	2		高級		0	高級
こうきょ	1		皇居		1	皇宮
こうきょう	2		公共		0	公共
こうきょう	1		好況		0	繁榮、景氣
こうぎょう	3		工業		1	工業
こうぎょう	1		興業		0	振興事業
こうぎょう	1		鉱業		1	礦業
こうくう	2		航空		0	航空
こうけい	2		光景		0	景象、情景、光景、情況、樣子
こうげい	2		工芸		0,1	工藝
ごうけい	2		合計		0	合計
こうげき	2		攻撃		0	攻擊、責備、擊球
こうけん	2		貢献		0	貢獻
こうげん	1		高原		0	高原
こうご	1		交互		1	交替
こうこう	2		孝行		1	孝順
こうこう//こうとうがっこう	3		高校//高等学校		0//5	高中
こうこうせい	3		高校生		3	高中生
こうこうと	1		煌々と		0	煌煌
こうこがく	1		考古学		3	考古學
こうこく	2		広告		0	廣告
こうさ	2		交差		0,1	交叉
こうさい	2		交際		0	交際
こうさく	1		工作		0	製作
こうさく	1		耕作		0	耕作
こうさてん	4	*2	交差点		0,3	十字路口
こうざん	1		鉱山		1	礦山
こうし	2		講師		1	教師、講師
こうじ	2		工事		1	工程
こうしき	2		公式		0	正式、公式
こうじつ	2		口実		0	藉口
こうして	2		こうして	接続詞	0	這樣
こうしゃ	2		後者		1	後者
こうしゃ	2		校舎		1	校舍
こうしゅう	2		公衆		0	民眾
こうしゅう	1		講習		0	講習
こうじゅつ	1		口述		0	口述
こうじょ	1		控除		1	扣除
こうしょう	1		交渉		0	交涉
こうしょう	1		高尚		0	高尚
こうじょう	3		工場		0,3	工廠
こうじょう	1		向上		0	進步
こうしん	1		行進		0	進行
こうしんりょう	1		香辛料		3	香辣調料
こうすい	2		香水		0	香水
こうすい	1		降水		0	降雨
こうずい	1		洪水		0	洪水
こうせい	2		構成		0	組成、組織
こうせい	2		公正		0	公平
ごうせい	1		合成		0	合成
こうせき	2		功績		0	功績
こうせん	2		光線		0	光線
こうぜん	1		公然		0	公開、公然
こうそう	2		高層		0	高層
こうそう	1		抗争		0	抗爭
こうそう	1		構想		0	構思
こうぞう	2		構造		0	構造、結構
こうそく	2		高速		0	快速
こうそく	1		拘束		0	束縛、拘留、拘束
こうたい	2		交替		0	交替
こうたい	1		後退		0	倒退、後退、衰退
こうたい	1	*0	交代		0	交替、替換、輪流
こうたく	1		光沢		0	光澤
こうだん	1		公団		0	公團
こうち	2		耕地		1	農地
こうちゃ	4	*2	紅茶		0	紅茶
こうちょう	3		校長		0	中小學校長
こうちょう	1		好調		0	順利
こうつう	3		交通		0	交通
こうつうきかん	2		交通機関		5	交通工具
こうてい	2		肯定		0	肯定
こうてい	2		校庭		0	操場
こうど	2		高度		1	高度
こうとう	2		高等		0	上等
こうとう	1		口頭		0	口頭
こうどう	3		講堂		0	大禮堂
こうどう	2		行動		0	行動
ごうとう	2		強盗		0	強盜
ごうどう	2		合同		0	聯合
こうどく	1		講読		0	講讀、講解
こうどく	1		購読		0	訂購、購讀
こうにゅう	1		購入		0	購買
こうにん	1		公認		0	公認
こうねつひ	1		光熱費		4	煤氣費
こうば	2		工場		0	工廠
こうはい	2		後輩		0	後輩
こうはい	1		荒廃		0	荒廢
こうばい	1		購買		0	購買
こうはん	1	*0	後半		0	後半部、後一半
こうばん	4		交番		0	派出所
こうひょう	2		公表		0	公佈
こうひょう	1		好評		0	好評
こうふ	1		交付		0,1	交給
こうふく	2		幸福		0	幸福
こうふく	0	*1	降伏		0	投降
こうぶつ	2		鉱物		0,1	礦物
こうふん	1		興奮		0	興奮
こうへい	2		公平		0	公平
こうほ	2		候補		1	候補、候補人
こうぼ	1		公募		0	微集、招募
こうみょう	1		巧妙		0	巧妙
こうむ	2		公務		1	公務、公事
こうむいん	3		公務員		3	公務員
こうもく	2		項目		0	項目、索引
こうよう	2		紅葉		0	紅葉、霜葉
こうよう	1		公用		0	公用、公事、公務
こうり	1		小売		0	小賣、零售
ごうり	2		合理		1	合理
こうりつ	1		公立		0	公立
こうりつ	1		効率		0	效率
こうりゅう	2		交流		0	交流、交變電流
ごうりゅう	2		合流		0	合流、滙合、聯合、合併
こうりょ	2		考慮		1	考慮
こうりょく	2		効力		1	效力、效果
こえ	4		声		1	人的聲音、意見
ごえい	1		護衛		0	護衛、警衛
こえる	2		越える、超える		0	過、度過、超過、超越、越過、跳過
ごえんりょなく。	2		御遠慮なく。	挨拶語	5	不用客氣
コース	2		course		1	路線、課程
コーチ	2		coach		1	教練、指導
コード	2		cord/code/chord		1	軟電線//暗碼、規則、暗號//和弦
コート(coat)	2		coat		1	外套、大衣
コート(court)	2		court		1	場地
コート(overcoat)	4		overcoat		1	外套
コーナー	1		corner		1	角落、角、園區
コーヒー	4	*2	koffie	オランダ語	3	咖啡
コーラス	2		chorus		1	合唱(團)
こおり	2		氷		0	冰
こおる	2		凍る		0	結冰、凍結
ゴール	2		goal		1	終點、目的地
ごかい	2		誤解		0	誤解、誤會
ごがく	2		語学		0,1	外語、語言學
こがす	2		焦がす		2	烤糊、烤焦
こがら	1		小柄		0	身材短小、小花、碎花紋
こぎって	1		小切手		2	支票
こきゅう	2		呼吸		0	呼吸、步調、拍子、竅門、要領
こきょう	2		故郷		1	故鄉、家鄉
こく	2		〜国		0	〜國
こぐ	2		漕ぐ		1	划(船)、搖(櫓)、踩(自行車)、燙(鞦韃)
ごく	2		極		1	極(其)、最
ごく	1		語句		1	語句、語、詞
こくおう	2		国王		2,3	國王
こくご	2		国語		0	國語、本國語言、(學科)國語、標準語
こくさい	3		国際		0	國際
こくさん	1		国産		0	國產
こくせき	2		国籍		0	國籍
こくてい	1		国定		0	國家規定、國家審定
こくど	1		国土		1	國土、領土
こくはく	1		告白		0	坦白、自白
こくばん	2		黒板		0	黑板
こくふく	2		克服		0	克服、征服
こくぼう	1		国防		0	國防
こくみん	2		国民		0	國民
こくもつ	2		穀物		2	穀物、糧食
こくゆう	1		国有		0	國有
ごくらく	1		極楽		0,4	極樂、安樂、無憂無慮
こくりつ	2		国立		0	國立
こくれん	1		国連		0	聯合國
ごくろうさま。	2		御苦労様。	挨拶語	2	辛苦了
こげちゃ	1		焦げ茶		2	深褐色、深咖啡色
こげる	2		焦げる		2	糊、烤焦
ごげん	1		語源		0	語源
ここ	4		此処	指示詞	0	這裡、這個時候
ここ	1		個々		1	每個
ごご	4		午後		1	下午
こごえる	2		凍える		0	凍僵
ここち	1		心地		0	感覺、心情
ここのか	4		九日		4	九日、九天、九號
ここのつ	4		九つ		2	九個、九歲
こころ	3		心		0,2	心胸、心情、心、精神、真心、衷心、誠心、想法、心思、意志、關懷、體諒、人情、風格特色
こころあたり	2		心当たり		4	猜想、線索
こころえ	1		心得		3	素養、經驗、規則、須知、代理、精神準備
こころえる	2		心得る		4	領會、理解、同意、答應、(技藝等)有經驗
こころがけ	1		心掛け		0,5	留意、留心
こころがける	1		心掛ける		5	留心、留意
こころざし	1		志		0,5	志、志願、意圖、厚意、盛情、(表示心意的)小意思
こころざす	1		志す		4	立志
こころづよい	1		心強い		5	膽子壯、有信心
こころぼそい	1		心細い		5	擔心、膽怯
こころみ	1		試み		3,4	嘗試
こころみる	1		試みる		4	試試、嘗試、試看看
こころよい	1		快い		4	愉快、高興、病情轉好
ごさ	1		誤差		0,1	誤差、差錯
ございます	3		〜御座居ます		4	〔敬語〕在、有
ございます。	1		御座います。	挨拶語	4	〔敬語〕有
こし	2		腰		0	腰、腰身
こじ	1		孤児		1	孤兒
こしかけ	2		腰掛		3,4	椅子、暫時棲身之處
ごじゅうおん	2		五十音		2	五十音
こしょう	2		胡椒		2	胡椒
こしょう（する）	3		故障（する）		0	故障
こしらえる	2		拵える「作る」		0,5	製造、虛構、籌措
こじれる	1		拗れる		3	（事態）複雜、（病）嚴重
こじん	2		個人		1	個人
こじん	1		故人		1	已故的人、死者
こす	2		越す「引っ越す」		0	遷居
こす	2		越す．超す		0,2	超過、勝於、度過
こす	1		濾す「水をこす」		0	過濾
こずえ	1		梢		0	樹梢
こする	2		擦る		2	摩擦、揉、搓、蹭
こせい	1		個性		1	個性
こせき	1		戸籍		0	戶口、戶籍
こぜに	1		小銭		0	零（用）錢
ごぜん	4		午前		1	上午
ごぞんじ	3		御存知		2	你知道、你認識
ごぞんじですか。	2		御存知ですか。	挨拶語	2	您知道嗎
こたい	2		固体		0	固體
こだい	1		古代		1	古體、古式、古詩體
こたえ	3		答え		2	回答、答覆、（問題的）答案
こたえる	4		答える		2,3	答覆、報答
こたつ	1		火燵		0	（取暖用的）暖爐、被爐
こだわる	1		拘る		3	拘泥於
ごちそう	3		御馳走		0	盛宴、款待
ごちそうさま（でした）。	4		御馳走様（でした）。	挨拶語	0,6(7)	多謝您的款待、我已經吃飽了
こちょう	1		誇張		0	誇張、誇大
こちら	4		こちら		0	這裡、這邊、這位、這方面、我們
こちらこそ。	4		こちらこそ。	挨拶語	4	哪兒的話、不敢當
こつ	1		こつ（〜をつかむ）		0,2	抓住（要領、竅門、秘訣）
こっか	2		国家		1	國家
こっかい	2		国会		0	國會、議會
こづかい	2		小遣い		1	零用錢
こっきょう	2		国境		0	國境、邊界
コック	2		kok	オランダ語	1	廚師
こっけい	1		滑稽		0	滑稽、可笑、荒唐
こっこう	1		国交		0	邦交
こっせつ	2		骨折		0	骨折
こっそり	2		こっそり		3	悄悄地、偷偷地、暗暗地
こっち	4	*3	こっち		3	這邊、這裡、這方面、我們、這位
こづつみ	2		小包		2	小包裏、郵寄的包裏
こっとうひん	1		骨董品		0	古董品
コップ	4		kop	オランダ語	0	杯子
こてい	1		固定		0	固定
こてん	2		古典		0	古典
こと	3		事		2	事情、情況、（談話的）內容
こと	2		琴		1	琴
ごと	2		〜毎			每
ごと	2		〜ごと「まるごと」			連…一起、連同、全部地
ことがら	1		事柄		0,3,4	事情、事體、情況
こどく	1		孤独		0	孤獨、孤單
ことごとく	1		悉く		3	盡悉、全部、一切
ことし	4		今年		0	今年
ことづける	2		言付ける		4	託付、託帶口信
ことづて	1		言伝		0,4	傳說、間接聽來的、捎口信
ことなる	2		異なる		3	不同、不一樣
ことに	1		殊に		1	特別、異常、例外
ことによると	1		事に依ると		0,5,6	可能、說不定、也許、碰巧
ことば	4		言葉		3	詞、話、語言
ことばづかい	2		言葉遣い		4	說話、措詞、表達
こども	4		子供		0	孩子、兒童
ことり	3		小鳥		0	小鳥
ことわざ	2		諺		0,4	諺語
ことわる	2		断る		3	事先說好、謝絕、拒絕
こな//こ	2		粉		2//1	粉末
こないだ	0	*2	こないだ		4	近來、前些天
こなごな	1		粉々		0	粉碎、粉末
この	4		此の	指示詞	0	這、這個
このあいだ	3		此の間		0,5	前些時候、前幾天、最近
このごろ	3		此の頃		0,2	近來
このましい	1		好ましい		4	令人喜歡、滿意
このみ	2		好み		1	愛好、嗜好
このむ	2		好む		2	愛好、喜歡
ごはん	4		御飯		1	飯
ごばん	1		碁盤		0	圍棋盤
コピー（する）	4	*2	copy		1	拷貝、複製、副本
ごぶさた	2		御無沙汰		0	久未問候
こべつ	1		個別		0	個別
こぼす	2		零す、溢す		2	弄翻、溢出
こぼれる	2		零れる		3	溢出、灑出、洋溢
コマーシャル	1		commercial		2	(電視)商業廣告、商務的
こまかい	3		細かい		3	細的、詳細的
ごまかす	1		誤魔化す		3	敷衍
こまやか	1		細やか、濃やか		2	深濃、深厚
こまる	4		困る		2	為難、難辦
ごみ	3		塵、芥		2	垃圾、灰塵
コミュニケーション	2		communication		4	傳達、報導
こむ	2		込む、混む		1	擁擠、費工夫
こむ	2		〜込む			進入
ゴム	2		gom	オランダ語	1	橡皮
こむぎ	2		小麦		0,2	小麥
こめ	3		米		2	米
こめる	2	*1	込める		2	裝填、集中
ごめん	2		御免		0	拒絕、免職
ごめんください。	4		御免下さい。	挨拶語	6	有人在嗎？
コメント	1		comment		0,1	評論、注釋
ごめんなさい。	4		御免なさい。	挨拶語	5	對不起
こもる	1		籠もる		2	充滿
こや	2		小屋		0	簡陋的房子
こゆう	1		固有		0	固有、特有
こゆび	2		小指		0	小指、情婦
こよう	1		雇用		0	僱用
こよみ	1		暦		3	日曆
こらえる	2		堪える		3	忍耐
ごらく	2		娯楽		0	娛樂
こらす	1		凝らす		2	集中
ごらん	2		御覧		0	〔敬〕看
ごらんなさい。	1		御覧なさい。	挨拶語	0	〔敬〕請看
ごらんになる	3		ご覧になる		5	〔尊敬語〕看、觀覽
こりつ	1		孤立		0	孤立
こりる	1		懲りる		2	接受了〜的教訓
こる	1		凝る		1	凝固、熱衷
これ	4		此れ、是		0	此、這
これから	3		此れから		0,4	從今以後
コレクション	2		collection		2	收藏(品)
これら	2		此れ等		2	這些
ころ//ごろ	4		〜頃			時候、時期
ころがす	2		転がす		0	滾、推動、弄倒
ころがる	2		転がる		0	滾、倒了、弄倒
ころす	2		殺す		0	殺、忍住、消除
ころぶ	2		転ぶ		0	跌倒、滾轉
こわい	3		怖い		2	可怕的
こわす	3		壊す		2	毀壞、弄壞、破壞
こわれる	3		壊れる		3	壞掉、故障、失敗
こん	2		紺		1	藏青、深藍
こん	2		今〜		1	現在
こんかい	2		今回		1	此次、這回
こんき	1		根気		0	耐性、毅力
こんきょ	1		根拠		1	根據
コンクール	2		concours	フランス語	3	表演賽、競演會、比賽(會)
コンクリート	2		concrete		4	混凝土
こんけつ	1		混血		0	混血
こんげつ	4		今月		0	這個月
こんご	2		今後		0	今後、以後
こんごう	2		混合		0	混合
コンサート	3		concert		1,3	演唱會、音樂會
こんざつ	2		混雑		1	混雜、擁擠
こんしゅう	4		今週		0	這星期
コンセント	2		concentric+plug	和製英語	1,3	插座、插口
コンタクト（レンズ）	1		contactlens		1,3[6]	隱形眼鏡
こんだて	2		献立		0,4	菜單、準備
こんちゅう	1		昆虫		0	昆蟲
こんてい	1		根底		0	根底、基礎
コンテスト	1		contest		1	比賽、選拔會
こんど	3		今度		1	這一次、下一次
こんど	2		今度		1	下次
こんどう	1		混同		0	混淆
コントラスト	1		contrast		1,4	對照
コントロール	1		control		4	控制、調節
こんな	4		こんな	指示詞	0	這樣的
こんなに	2		こんなに		0	這樣的
こんなん	2		困難		1	因難
こんにち	2		今日		1	今日
こんにちは。	4		今日は。	挨拶語	5	您好
コンパス	1		kompas	オランダ語	1	圓規、指南針
こんばん	4		今晩		1	今晚、今夜
こんばんは。	4		今晩は。	挨拶語	5	晚上好
コンピューター//コンピュータ	3	*2	computer		3	電腦
こんぽん	1		根本		0	根本、基礎
こんや	3		今夜		1	今夜、今晚
こんやく	2		婚約		0	婚約
こんらん	2		混乱		0	混亂
さ	2		差		0	差別、差距
さ	1		さ	感動詞	0	感嘆詞“さあ”的輕呼
さあ	4		さあ	感動詞	1	喂（用於勸誘，催促時）、呀（用於躊躇，遅疑時）、啊（用於喜悦，驚訝）
サークル	2		circle		0,1	小組、社團、團體、圓圈
サービス	2		service		1	服務、接待
さい	4		〜歳			幾歲
さい	2		際		1	際、時
さい	2		〜祭			祭
ざい	1		財		1	金錢、財富
さい〜	2		再〜			再、重新
さい〜	2		最〜			最
さいかい	1		再会		0	再次見面
さいがい	1		災害		0	災害
ざいがく	2		在学		0	在學
さいきん	3		最近		0	最近、近來
さいきん	1		細菌		0	細菌
さいく	1		細工		0,3	精緻的手工藝
さいくつ	1		採掘		0	採掘、開採
サイクル	1		cycle		1	周期
さいけつ	1		採決		0,1	表決
さいけん	1		再建		0	重建、重修
さいげん	1		再現		0	再現、復現
ざいげん	1		財源		0,3	財源
さいご	3		最後		1	最後、最終
ざいこ	1		在庫		0	庫存
さいこう	2		最高		0	最高
さいさん	2		再三		0	再三
さいさん	1		採算		0	核算
ざいさん	2		財産		1	財產
さいじつ	2		祭日		0	祭日
さいしゅう	2		最終		0	最終
さいしゅう	1		採集		0	採集
さいしょ	3		最初		0	最初、開始
サイズ	1		size		1	尺寸
さいせい	1		再生		0	重生、復活
ざいせい	1		財政		0	財政
さいぜん	1		最善		0	最好
さいそく	2		催促		1	催促
さいたく	1		採択		0	選定、採納
さいちゅう	2		最中		1	正在…之中、最盛、最高潮時
さいてい	2		最低		0	最低
さいてん	2		採点		0	評分
さいなん	2		災難		3	災難
さいのう	2		才能		0	才能
さいばい	1		栽培		0	栽培
さいはつ	1		再発		0	復發
さいばん	2		裁判		1	審判、審理
さいふ	4	*3	財布		0	錢包
さいほう	2		裁縫		0	裁縫
さいぼう	1		細胞		0	細胞
ざいもく	2		材木		0	木材
さいよう	1		採用		0	採用
ざいりょう	2		材料		3	材料
サイレン	2		siren		1	警笛
さいわい	2		幸		0	幸運、幸福
サイン	2		sign		1	簽名、記號
さえぎる	1		遮る		3	遮、遮擋、遮掩、遮蔽、遮斷、打斷、攔截、抗拒、阻擋
さえずる	1		囀る		3	(鳥)鳴、叫、囀
さえる	1		冴える		2	鮮明、(聲音)清脆、精巧、清醒、清寒
さお	1		竿		2	竹竿、竿子、杠子
さか	3	*2	坂		2	坡、斜坡
さかい	2		境		2	界線、界限、疆界、分界、分水嶺、境地、境界、關頭
さかえる	1		栄える		2,3	興盛、繁榮、興旺
さがく	1		差額		0	差額
さかさ	2		逆さ		0	倒、顛倒、相反
さかさま	2		逆様		0	倒、逆、顛倒
さがす	3		探す、捜す		0	尋找、尋求
さかずき	1		杯		4	酒杯、交杯結盟
さかだち	1		逆立ち		0	倒立、顛倒
さかな	4		魚		0	魚、餘類
さかのぼる	2		遡る		4	逆流而上、溯航、溯、回溯、追溯
さかば	2		酒場		0.3	酒館、酒家、酒吧間
さからう	2		逆らう		3	逆、背逆、違反、反抗、違逆、不服從、抗拒
さかり	2		盛り		0	最盛時期、最興盛的狀態、(花)盛開時、(動物)發情
さがる	3		下がる		2	下降、降低
さかん	3		盛ん		0	興盛、旺盛、繁榮、盛大、積極、熱烈、大力
さき	4		先		0	尖端、前頭、先、先前、前方、目的地、將來、前途
さぎ	1		詐欺		1	欺詐、詐騙
さき（に）	0	*2	先（に）		0	先、早、先前
さきおととい	2		一昨々日		4	大前天
さきに	1		先に、前に「以前」		0,1	以前
さきほど	2		先程		0	方才、剛才
さぎょう	2		作業		1	工作、作業、操作
さく	4		咲く		0	(花)開
さく	2		裂く		1	撕開、切開、割開、劈開、分裂、離開、分出、勻出、騰出
さく	1		作		0,2	作品、農作物的收穫量
さく	1		柵		1,2	柵欄、圍欄、城寨
さく	1		策		1,2	策、計策、策略、手段、方法、3、昔時用於寫字的簡策、4、鞭、仗、
さく〜	2		昨〜		1	昨〜
さくいん	2		索引		0	索引
さくげん	1		削減		0	削減
さくご	1		錯誤		1,2	錯誤、事實與觀念不一致
さくしゃ	2		作者		1	(文藝作品的)作者、腳本作者
さくじょ	2		削除		1	削除、刪掉、抹掉、勾消
さくせい	2		作成、作製		0	（計劃、文件等）寫成作成、製作、製造
さくせん	1		作戦		0	作戰、戰術
さくひん	2		作品		0	製成品、(文藝)作品
さくぶん	4		作文		0	作文、寫文章
さくもつ	2		作物		2	農作物、庄稼
さくら	2		桜		0	櫻樹、櫻花、馬肉的別稱
さぐる	2		探る		0	(用手、腳)探、摸、摸索、尋找、刺探、暗中調查、探訪、欣賞(美麗的風景等)
さけ	2		酒		0	酒、日本清酒
さけび	1		叫び		3	大聲喊叫、喊叫聲、抗議
さけぶ	2		叫ぶ		2	叫、喊、呼喊、喊叫、呼籲
さける	2		避ける		2	避、躲避、避開、迴避、忌避
さける	1		裂ける		2.3	裂、裂開、破裂
さげる	3		下げる		2	降、降下、降低、掛、懸、吊、撤、撤下、後撤、發放、貶
ささえる	2		支える		3	支、支撐、維持、支持、阻止、阻擋
ささげる	1		捧げる		0	捧、擎、獻、獻給、貢獻、(向對方)表式、表達
ささやく	2		囁く		3	耳語、私語、小聲說話、說體已話
ささる	2		刺さる		2	扎
さじ	2		匙		2	湯匙
さしあげる	3		差し上げる		0	奉送、贈送、舉起、高舉
さしかかる	1		差し掛かる		0	來到、到達(某一地點)、(時間)到來、迫近、臨近、垂蓋
ざしき	2		座敷		3	(日本住宅)舖著榻榻米的房間、(日本住宅的)客廳
さしず	1		指図		1	指示、指揮、調遣、命令
さしだす	1		差し出す		0	(向前)伸出、拿出、提出、交出、寄發、發出、派遣
さしつかえ	2		差し支え		0	不方便、障礙、妨礙
さしつかえる	1		差し支える		0	妨礙、障礙、不方便
さしひき	1		差し引き		0.2	扣除、扣除後的餘額、差額
さしひく	2		差し引く		0	扣除、減去、折衷、抵補
さしみ	2		刺身		3	生魚片
さす	4		さす「傘をさす」		1	舉、（撐傘、打傘）
さす	2		刺//差//指//挿//注//射		1	扎穿、螫、叮、咬//指、插//指、指向、指摘、指明、朝向//插、插入//點(眼藥水)//(光線)照射
さすが	2		流石		0	就連…也都、雖然…還是、不愧、到底是、畢竟、名不虛傳
さずける	1		授ける		3	授予、授給、傳授
さする	1		擦る		0	(用手)摩擦
ざせき	2		座席		0	座位
さぞ	1		さぞ「さぞや、さぞかし」		1	想必、一定（下接推量的詞句）
さそう	2		誘う		0	邀請、引誘、引起
さだまる	1		定まる		3	決定、固定、明確
さだめる	1		定める		3	規定、奠定、評定
ざだんかい	1		座談会		0,2	座談會
さつ	4		〜冊			本、冊
さつ	2		札		0	紙幣
ざつ	1		雑		0,1	粗糙、草率、混雜
さつえい	2		撮影		0	拍照、攝影
ざつおん	2		雑音		0	噪音、雜音
さっか	2		作家		0,1	作家
ざっか	1		雑貨		0	雜貨
さっかく	1		錯覚		0	錯覺、誤會
さっき	3		さっき		1	剛才、方才
さっきょく	2		作曲		0	作曲、譜曲
さっさと	2		さっさと		1,3	趕快、迅速地
ざっし	4		雑誌		0	雜誌
さつじん	1		殺人		0	殺人
さっする	1		察する		0,3	想像、推測、體諒
さっそく	2		早速		0	立刻、馬上
ざつだん	1		雑談		0	閒談、聊天
さっと	1		さっと		0,1	迅速、一下子、忽然
ざっと	2		ざっと		0	簡略地、大約、嘩啦
さっぱり	2		さっぱり		3	爽快、氫淡、精光
さっぱりする	1		さっぱりする		3	乾淨、俐落、爽快
さて	2		さて		1	（承上啟下或另起話頭）那麼、到底
さとう	4		砂糖		2	砂糖
さとる	1		悟る		0,2	領悟、發覺、看透
